Filename,Tobj,Obj,HIP_name,Thorium1,Thorium2,Haolgen1,Halogen2,Date,RA,DEC,SNR,Filesize,Md5
raoy.324.fits,HIP113357,HIP113357,HIP113357,Off,Off,Off,Off,2016-04-02T12:58:53.37,22:57:28.2, 20:46:08.0,198.98499,1477440,eee67fe3edff76c3c2966df2692763ad
rany.280.fits,HIP95853,HIP95853,HIP95853,Off,Off,Off,Off,2016-02-14T12:07:23.16,19:29:42.3, 51:43:49.0,137.82483,1477440,9066c4b0ccd5962f0cc4b55d7b2210c5
ramq.233.fits,HIP12444,HIP12444,HIP12444,Off,Off,Off,Off,2015-11-22T06:33:45.76, 2:40:12.4, -9:27:10.4,165.93176,1477440,bc9d4f2465af4893d5e865fb33810cac
raob.239.fits,HIP60965,HIP60965,HIP60965,Off,Off,Off,Off,2016-02-21T10:40:05.38,12:29:51.6,-16:30:57.0,175.5041,1477440,699c53b87d4dbd9e9664787b650abdea
ramr.228.fits,HIP12444,HIP12444,HIP12444,Off,Off,Off,Off,2015-11-24T07:01:44.92, 2:40:12.4, -9:27:10.4,158.00615,1477440,c3e88c336ee0bc09a95fd77f4c3956cd
raob.250.fits,HIP64241,HIP64241,HIP64241,Off,Off,Off,Off,2016-02-21T11:13:18.56,13:09:58.7, 17:31:48.0,141.76707,1477440,b5a395b32eac649f584408083af9e827
ramu.251.fits,HIP42172,HIP42172,HIP42172,Off,Off,Off,Off,2015-11-28T07:59:03.39, 8:35:51.0,  6:37:12.8,123.815025,1477440,30141c42d4b60d74b47738bd926bfad5
raob.253.fits,HIP65477,HIP65477,HIP65477,Off,Off,Off,Off,2016-02-21T11:20:33.23,13:25:13.7, 54:59:16.0,152.08665,1477440,0826dcde7be64b61408671e8b1d1747b
ramv.171.fits,HIP56445,HIP56445,HIP56445,Off,Off,Off,Off,2015-11-30T12:31:18.35,11:34:21.9,  3:03:36.6,157.8691,1477440,c75421b724b8950a4b009bed17aa36be
raob.269.fits,HIP69483,HIP69483,HIP69483,Off,Off,Off,Off,2016-02-21T12:43:48.57,14:13:29.1, 51:47:23.0,177.32828,1477440,4e51848036b59d7176077c13117f51db
ramw.271.fits,HIP56445,HIP56445,HIP56445,Off,Off,Off,Off,2015-12-02T12:05:47.56,11:34:21.9,  3:03:36.6,161.6598,1477440,8c50e1e9bb48b4fa43d0c1c63f5fee18
raob.270.fits,HIP71284,HIP71284,HIP71284,Off,Off,Off,Off,2016-02-21T12:49:26.31,14:34:41.0, 29:44:44.0,179.3003,1477440,f99973ef7929a82272ac04063de3ffb9
ramx.195.fits,HIP19855,HIP19855,HIP19855,Off,Off,Off,Off,2015-12-05T05:31:22.83, 4:15:25.8,  6:11:58.7,86.74489,1477440,5a5497a62a4af4963c1fd147706e8ef0
raob.271.fits,HIP70497,HIP70497,HIP70497,Off,Off,Off,Off,2016-02-21T12:52:05.47,14:25:11.3, 51:50:56.0,127.388596,1477440,80dc9252a19fdb38dac31ec6270e4f71
ramz.278.fits,<Park>,HIP42172,HIP42172,Off,Off,Off,Off,2015-12-08T12:42:37.47, 9:42:36.3, 37:05:54.8,33.456165,1477440,45b59c0697de0cf400e24f3d22d5c364
raob.275.fits,HIP93747,HIP93747,HIP93747,Off,Off,Off,Off,2016-02-21T13:08:20.57,19:05:24.5, 13:51:47.0,186.70163,1477440,daa5a708d37afa9d8c01a0b8119be7a5
rana.224.fits,HIP12444,HIP12444,HIP12444,Off,Off,Off,Off,2015-12-09T06:31:36.85, 2:40:12.4, -9:27:10.4,110.91775,1477440,e061d43aa018d0a3c196234a756c91c7
raob.287.fits,HIP102532,HIP102532,HIP102532,Off,Off,Off,Off,2016-02-21T14:14:51.46,20:46:39.4, 16:07:24.0,135.09935,1477440,4e82730e68a152b8a7f28e9e3941f413
rann.193.fits,HIP77622,HIP77622,HIP77622,Off,Off,Off,Off,2016-01-20T13:43:12.95,15:50:49.0,  4:28:39.8,155.25897,1477440,4c8ad1d1d0de3fd46468ffc3219949f1
raoc.198.fits,HIP80628,HIP80628,HIP80628,Off,Off,Off,Off,2016-02-23T10:56:50.43,16:27:48.1, -8:22:18.0,151.75208,1477440,449bb9cee45cce3f470f2daab669b521
ranq.207.fits,HIP39064,HIP39064,HIP39064,Off,Off,Off,Off,2016-01-26T11:12:36.92, 7:59:34.1, 20:50:29.0,96.68005,1477440,0e2a7e0671e73be7394b1ecb8291df76
raoc.204.fits,HIP76219,HIP76219,HIP76219,Off,Off,Off,Off,2016-02-23T11:45:31.66,15:34:11.0,-10:03:56.0,165.16068,1477440,5324e6c2fdd706719a15f1a071f4126a
ranr.210.fits,HIP14576,HIP14576,HIP14576,Off,Off,Off,Off,2016-01-28T03:37:47.95, 3:08:10.1, 40:57:20.0,162.44804,1477440,44a7c93a1dfd0f6024eb0b7170fa5148
raoc.207.fits,HIP54182,HIP54182,HIP54182,Off,Off,Off,Off,2016-02-23T12:48:01.23,11:05:00.6,  7:20:08.0,156.00003,1477440,50ad13035f0b46fbd6b6b978655de386
ranr.211.fits,HIP21421,HIP21421,HIP21421,Off,Off,Off,Off,2016-01-28T03:39:50.20, 4:35:55.3, 16:30:30.0,235.14249,1477440,b7e632174664216d1c2bfaf4ace72854
raod.193.fits,HIP44901,HIP44901,HIP44901,Off,Off,Off,Off,2016-02-25T02:49:53.16, 9:08:52.0, 51:36:16.0,144.16077,1477440,25077a02189fb282341f7dcafb7458f9
ranr.212.fits,HIP9884,HIP9884,HIP9884,Off,Off,Off,Off,2016-01-28T03:41:37.76, 2:07:10.6, 23:27:42.0,189.44394,1477440,9970cbac02c33e2f034c8b2aed1a9025
raod.195.fits,HIP16852,HIP16852,HIP16852,Off,Off,Off,Off,2016-02-25T02:54:06.99, 3:36:52.1,  0:23:58.0,140.57826,1477440,91375dc66de5af13010714ee4d0860c7
ranr.241.fits,HIP37826,HIP37826,HIP37826,Off,Off,Off,Off,2016-01-28T05:33:03.18, 7:45:18.1, 28:01:33.0,255.7017,1477440,68579bdca5fe429851db1e19a8fa17ac
raod.284.fits,HIP56445,HIP56445,HIP56445,Off,Off,Off,Off,2016-02-25T09:05:51.93,11:34:21.9,  3:03:36.6,196.76917,1477440,7d9235bea01b729e3cd07a4a211c1b09
ranr.263.fits,HIP50583,HIP50583,HIP50583,Off,Off,Off,Off,2016-01-28T07:06:03.61,10:19:58.7, 19:50:26.0,173.81905,1477440,875137d850d11deb37d2d1cae2d9ea82
raod.324.fits,HIP88175,HIP88175,HIP88175,Off,Off,Off,Off,2016-02-25T11:25:09.32,18:00:29.1, -3:41:25.0,116.53189,1477440,f9083238537a9700aa102ffa6a37aebf
ranr.271.fits,HIP53910,HIP53910,HIP53910,Off,Off,Off,Off,2016-01-28T07:16:40.29,11:01:50.6, 56:22:57.0,176.76137,1477440,3310ce02a2752645a37a5748bead5aaa
raod.333.fits,HIP92946,HIP92946,HIP92946,Off,Off,Off,Off,2016-02-25T11:51:23.75,18:56:13.2,  4:12:13.0,155.99825,1477440,96dfd4d8864918cbff0545477b254d00
ranr.293.fits,HIP62956,HIP62956,HIP62956,Off,Off,Off,Off,2016-01-28T10:08:22.68,12:54:01.9, 55:57:35.0,193.96254,1477440,8611602e85008309524f33a345ee387a
raod.346.fits,HIP106481,HIP106481,HIP106481,Off,Off,Off,Off,2016-02-25T12:31:48.54,21:33:58.8, 45:35:29.0,147.73,1477440,97fbae3e61174df964a4d429e2a52a55
ranr.295.fits,HIP56445,HIP56445,HIP56445,Off,Off,Off,Off,2016-01-28T10:19:37.80,11:34:21.9,  3:03:36.6,163.04295,1477440,2e83c462ccf16a2cdc10db04f1402aaf
raoe.184.fits,<Park>,HIP90139,HIP90139,Off,Off,Off,Off,2016-02-27T11:26:35.76,13:46:04.6, 37:06:13.9,46.456,1477440,1473035f1cc92885b929ad415caf5b7c
ranu.194.fits,HIP23875,HIP23875,HIP23875,Off,Off,Off,Off,2016-02-06T02:49:47.86, 5:07:50.8, -5:05:12.0,169.88823,1477440,c0249fd9fe8cd34713f54565792251f5
raof.187.fits,HIP9487,HIP9487,HIP9487,Off,Off,Off,Off,2016-02-28T02:46:25.59, 2:02:02.8,  2:45:49.0,140.28052,1477440,5a6d59535fe4ec35da080195a21893c6
ranu.281.fits,HIP58001,HIP58001,HIP58001,Off,Off,Off,Off,2016-02-06T10:27:14.88,11:53:50.0, 53:41:41.0,145.81087,1477440,726b51d42bf2cbe2994681974d63fbc6
raof.189.fits,HIP4436,HIP4436,HIP4436,Off,Off,Off,Off,2016-02-28T02:49:37.67, 0:56:45.4, 38:29:58.0,158.71204,1477440,036f77e3eee4629eb73cc14e91b34c51
ranu.282.fits,HIP56445,HIP56445,HIP56445,Off,Off,Off,Off,2016-02-06T10:33:55.91,11:34:21.9,  3:03:36.6,224.23273,1477440,13de929da801b9c760cbb9fcfcfbff49
raof.236.fits,HIP56445,HIP56445,HIP56445,Off,Off,Off,Off,2016-02-28T11:27:05.09,11:34:21.9,  3:03:36.6,139.57355,1477440,69111dab3ca403cb31a222afd8ae5823
ranv.280.fits,HIP46853,HIP46853,HIP46853,Off,Off,Off,Off,2016-02-08T07:53:21.83, 9:32:49.8, 51:40:29.0,191.06966,1477440,08f8283d717f79e8d36d781aab9b592e
