name,HIP_name,Simbad_resolvable_name,filenames,SNR,iodine_flag,failure_code,failure_message,iso_fail_flag,warnings,Teff_bounds_flag,R_bounds_flag,Teff,u_Teff,Teff_detrended,u_Teff_detrended,iso_Teff,iso_up_Teff,iso_um_Teff,radius,u_radius,radius_detrended,u_radius_detrended,iso_radius,iso_up_radius,iso_um_radius,feh,u_feh,feh_detrended,u_feh_detrended,iso_feh,iso_up_feh,iso_um_feh,logg,u_logg,logg_detrended,u_logg_detrended,iso_logg,iso_up_logg,iso_um_logg,mass,u_mass,mass_detrended,u_mass_detrended,iso_mass,iso_up_mass,iso_um_mass,age,u_age,age_detrended,u_age_detrended,iso_age,iso_up_age,iso_um_age,best_mean_chi_squared,timestamp
HIP56445,HIP56445,HIP56445,['ranu.282.fits'],,1,1,__main__.Iodine_Exception: At least one target spectrum file contains iodine.,,[],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04Nov2021-21:46:14
HIP56445,HIP56445,HIP56445,['ranu.282.fits'],,1,1,__main__.Iodine_Exception: At least one target spectrum file contains iodine.,,[],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04Nov2021-21:46:48
HIP56445,HIP56445,HIP56445,['ranu.282.fits'],,1,1,__main__.Iodine_Exception: At least one target spectrum file contains iodine.,,[],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04Nov2021-21:50:03
HIP56802,HIP56802,HIP56802,['raoy.226.fits'],185.02877732261,0,0,No failure,False,[],0,0,6045.013,125.8,6053.971,125.8,6138.462,108.84,113.045,1.334,0.34,1.271,0.34,1.75,0.053,0.049,-0.191,0.09,-0.172,0.09,-0.13,0.099,0.091,4.23,0.09,4.23,0.09,4.036,0.029,0.047,1.06,0.6,1.06,0.6,1.227,0.052,0.097,9.7,0.23,9.7,0.23,3.71,1.604,0.627,1.02,04Nov2021-22:05:36
HIP56809,HIP56809,HIP56809,['rawl.253.fits'],148.9842463620315,0,0,No failure,True,"['Failed to find Gaia name in Simbad; cannot run isochrone analysis.', 'Failed to find 2MASS name in Simbad; cannot run isochrone analysis.']",0,0,5808.436,125.8,5817.394,125.8,5937.07,127.289,128.089,1.227,0.34,1.191,0.34,1.772,0.057,0.054,-0.161,0.09,-0.148,0.09,-0.088,0.082,0.09,4.265,0.09,4.265,0.09,3.988,0.05,0.036,0.989,0.6,0.989,0.6,1.124,0.105,0.054,9.76,0.23,9.759,0.23,5.739,1.06,1.826,1.7,04Nov2021-22:21:11
HIP57328,HIP57328,HIP57328,"['rawl.232.fits', 'rawl.233.fits', 'rawl.234.fits']",312.5507818114322,0,0,No failure,False,[],1,0,6668.791,125.8,6677.75,125.8,6682.691,121.888,118.013,1.79,0.34,1.57,0.34,2.02,0.067,0.066,-0.182,0.09,-0.165,0.09,-0.15,0.069,0.102,4.076,0.09,4.076,0.09,3.977,0.029,0.029,1.368,0.6,1.368,0.6,1.426,0.051,0.05,9.38,0.23,9.38,0.23,1.929,0.284,0.218,5.66,04Nov2021-22:36:23
HIP57632,HIP57632,HIP57632,['ranr.288.fits'],159.91557831399666,0,0,No failure,True,['Failed to find Gaia name in Simbad; cannot run isochrone analysis.'],1,0,6667.888,125.8,6676.846,125.8,0.0,0.0,0.0,1.803,0.34,1.578,0.34,0.0,0.0,0.0,-0.178,0.09,-0.162,0.09,0.0,0.0,0.0,4.073,0.09,4.073,0.09,0.0,0.0,0.0,1.373,0.6,1.373,0.6,0.0,0.0,0.0,9.38,0.23,9.376,0.23,0.0,0.0,0.0,5.6,04Nov2021-22:52:08
HIP57757,HIP57757,HIP57757,"['rbrd.208.fits', 'rbrd.209.fits', 'rbrd.210.fits', 'rbrd.211.fits']",,1,1,__main__.Iodine_Exception: At least one target spectrum file contains iodine.,,[],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04Nov2021-22:52:19
HIP5799,HIP5799,HIP5799,"['rbhv.246.fits', 'rbhv.247.fits', 'rbhv.245.fits']",282.39710169701635,0,0,No failure,False,[],0,0,6148.284,125.8,6157.243,125.8,6149.534,124.614,119.102,1.7,0.34,1.517,0.34,1.625,0.163,0.145,-0.358,0.09,-0.31,0.09,-0.313,0.084,0.087,4.023,0.09,4.023,0.09,4.046,0.07,0.075,1.091,0.6,1.091,0.6,1.099,0.082,0.072,9.72,0.23,9.721,0.23,5.275,1.409,1.378,1.02,04Nov2021-23:07:24
HIP58001,HIP58001,HIP58001,['ranu.281.fits'],145.81086917754965,0,0,No failure,True,['Failed to find Gaia name in Simbad; cannot run isochrone analysis.'],0,0,6679.951,125.8,6688.91,125.8,6738.068,118.048,113.772,1.741,0.34,1.542,0.34,2.343,0.221,0.197,-0.199,0.09,-0.179,0.09,-0.139,0.064,0.068,4.091,0.09,4.091,0.09,3.873,0.059,0.057,1.351,0.6,1.351,0.6,1.54,0.089,0.088,9.39,0.23,9.387,0.23,1.616,0.284,0.212,6.11,04Nov2021-23:22:25
