,wl,count
0,5889.04,11
1,5226.76,10
2,5889.02,10
3,5889.06,10
4,5188.62,9
5,5226.78,9
6,5586.76,9
7,5172.04,9
8,5172.18,9
9,5895.76,9
10,5005.72,8
11,5139.12,8
12,5041.06,8
13,5014.14,8
14,5041.0,8
15,5269.58,8
16,5328.26,8
17,5018.02,8
18,5014.16,8
19,5269.72,8
20,5017.94,8
21,5316.5,8
22,5049.9,8
23,5183.48,8
24,5035.56,8
25,5232.76,8
26,5018.0,8
27,5476.42,7
28,5895.7,7
29,5142.24,7
30,5005.68,7
31,5889.08,7
32,5429.5,7
33,5476.48,7
34,5168.82,7
35,5275.32,7
36,5166.22,7
37,5275.24,7
38,5328.16,7
39,5017.52,7
40,5142.74,7
41,5138.96,7
42,5017.78,7
43,5005.64,7
44,5455.16,7
45,5429.32,7
46,5005.62,7
47,5476.54,7
48,5429.38,6
49,5316.88,6
50,5191.54,6
51,5005.94,6
52,5183.62,6
53,5080.6,6
54,5208.68,6
55,5462.64,6
56,5208.72,6
57,5889.88,6
58,5183.42,6
59,5275.34,6
60,5018.34,6
61,5167.12,6
62,5205.5,6
63,5226.8,6
64,5006.06,6
65,5017.88,6
66,5018.66,6
67,5172.06,6
68,5142.58,6
69,5328.06,6
70,5261.84,6
71,5269.62,6
72,5017.98,6
73,5889.64,6
74,5017.92,6
75,5041.04,6
76,5172.1,6
77,5005.66,6
78,5142.2,6
79,5017.76,6
80,5139.36,6
81,5079.74,6
82,5139.04,6
83,5040.24,6
84,5890.22,6
85,5226.86,6
86,5455.3,6
87,5142.06,6
88,5191.92,6
89,5455.1,6
90,5429.7,6
91,5016.12,6
92,5191.86,6
93,5476.52,6
94,5166.92,6
95,5017.96,6
96,5167.78,6
97,5899.46,6
98,5889.0,6
99,5079.34,6
100,5167.76,6
101,5316.7,6
102,5005.58,6
103,5166.76,5
104,5658.0,5
105,5142.3,5
106,5889.82,5
107,5476.62,5
108,5446.74,5
109,5889.2,5
110,5232.8,5
111,5095.12,5
112,5615.46,5
113,5615.5,5
114,5658.1,5
115,5658.24,5
116,5283.32,5
117,5462.42,5
118,5283.26,5
119,5405.66,5
120,5269.74,5
121,5269.52,5
122,5275.52,5
123,5275.18,5
124,5415.1,5
125,5216.34,5
126,5265.02,5
127,5167.9,5
128,5040.98,5
129,5895.72,5
130,5035.64,5
131,5572.96,5
132,5227.08,5
133,5167.18,5
134,5139.28,5
135,5215.5,5
136,5586.98,5
137,5148.36,5
138,5167.04,5
139,5143.1,5
140,5102.6,5
141,5079.2,5
142,5168.86,5
143,5602.9,5
144,5012.0,5
