name,HIP_name,Simbad_resolvable_name,filenames,SNR,iodine_flag,binary_flag,non-stellar_flag,failure_code,failure_message,iso_fail_flag,warnings,Teff_bounds_flag,R_bounds_flag,Teff,u_Teff,Teff_detrended,u_Teff_detrended,iso_Teff,iso_up_Teff,iso_um_Teff,radius,u_radius,radius_detrended,u_radius_detrended,iso_radius,iso_up_radius,iso_um_radius,feh,u_feh,feh_detrended,u_feh_detrended,iso_feh,iso_up_feh,iso_um_feh,logg,u_logg,logg_detrended,u_logg_detrended,iso_logg,iso_up_logg,iso_um_logg,mass,u_mass,mass_detrended,u_mass_detrended,iso_mass,iso_up_mass,iso_um_mass,age,u_age,age_detrended,u_age_detrended,iso_age,iso_up_age,iso_um_age,best_mean_chi_squared,timestamp
HIP96285,HIP96285,HIP96285,"['rbmm.236.fits', 'rbmm.237.fits', 'rbmm.235.fits']",121.83871555224913,0.0,False,False,0,No failure,False,[],0,0,3985.828,71.5,3994.787,71.5,4075.011,40.854,50.156,0.598,0.07,0.598,0.07,0.549,0.016,0.019,-0.273,0.09,-0.24,0.09,-0.213,0.077,0.097,4.694,0.09,4.694,0.09,4.696,0.021,0.014,0.598,0.6,0.598,0.6,0.552,0.013,0.013,9.78,0.23,9.776,0.23,12.194,5.327,7.071,31.18,11Jan2022-12:17:47 PM
HIP96395,HIP96395,HIP96395,"['rbmm.217.fits', 'rbmm.218.fits', 'rbmm.219.fits']",205.90389165252864,0.0,False,False,0,No failure,False,[],0,0,5797.809,125.8,5806.767,125.8,5911.437,81.459,84.594,1.064,0.34,1.061,0.34,0.968,0.019,0.018,-0.062,0.09,-0.067,0.09,-0.086,0.082,0.083,4.405,0.09,4.405,0.09,4.468,0.019,0.026,1.005,0.6,1.005,0.6,1.008,0.032,0.04,9.53,0.23,9.531,0.23,1.89,1.863,1.226,5.6,11Jan2022-12:36:20 PM
HIP96441,HIP96441,HIP96441,"['rcoh.500.fits', 'rcoh.501.fits', 'rcoh.502.fits', 'rcoh.503.fits', 'rcoh.504.fits']",379.897813408833,0.0,False,False,0,No failure,False,[],1,0,6220.841,125.8,6229.8,125.8,6212.155,113.136,108.772,1.496,0.34,1.385,0.34,1.512,0.146,0.131,-0.191,0.09,-0.173,0.09,-0.173,0.083,0.082,4.152,0.09,4.152,0.09,4.134,0.066,0.064,1.142,0.6,1.142,0.6,1.175,0.069,0.08,9.63,0.23,9.631,0.23,3.69,1.463,0.764,1.7,11Jan2022-12:52:31 PM
HIP96895,HIP96895,HIP96895,"['rbze.683.fits', 'rbze.682.fits', 'rbze.684.fits']",232.19911015723665,0.0,False,False,0,No failure,False,[],0,0,5590.706,125.8,5599.665,125.8,5553.626,114.672,115.175,1.592,0.34,1.449,0.34,1.317,0.032,0.035,0.061,0.09,0.035,0.09,0.032,0.061,0.109,4.058,0.09,4.058,0.09,4.169,0.034,0.033,1.016,0.6,1.016,0.6,0.939,0.049,0.044,9.95,0.23,9.954,0.23,12.359,2.421,2.403,1.6,11Jan2022-01:07:01 PM
HIP97051,HIP97051,HIP97051,"['rbfy.223.fits', 'rbfy.224.fits', 'rbfy.225.fits']",74.50059765057573,0.0,False,False,0,No failure,False,[],0,0,4212.506,71.5,4221.465,71.5,4257.161,58.847,59.069,0.66,0.07,0.66,0.07,0.608,0.019,0.019,-0.124,0.09,-0.117,0.09,-0.114,0.075,0.072,4.668,0.09,4.668,0.09,4.66,0.021,0.022,0.652,0.6,0.652,0.6,0.62,0.02,0.019,9.61,0.23,9.615,0.23,9.555,6.633,6.345,15.33,11Jan2022-01:20:38 PM
HIP9716,HIP9716,HIP9716,"['rcbg.505.fits', 'rcbg.506.fits', 'rcbg.507.fits']",251.69694000796872,0.0,False,False,0,No failure,False,[],0,0,5331.813,125.8,5340.771,125.8,5330.161,97.722,103.109,0.838,0.07,0.838,0.07,0.843,0.015,0.015,0.076,0.09,0.047,0.09,0.032,0.084,0.083,4.527,0.09,4.527,0.09,4.533,0.021,0.027,0.894,0.6,0.894,0.6,0.886,0.033,0.039,9.56,0.23,9.562,0.23,3.971,3.727,2.55,1.6,11Jan2022-01:35:05 PM
HIP97222,HIP97222,HIP97222,"['raxs.250.fits', 'raxs.251.fits', 'raxs.252.fits']",172.08294381135292,0.0,False,False,0,No failure,True,['Failed to find Gaia name in Simbad; cannot run isochrone analysis.'],0,0,4749.338,125.8,4758.297,125.8,,0.0,0.0,0.764,0.07,0.764,0.07,,0.0,0.0,-0.049,0.09,-0.056,0.09,,0.0,0.0,4.533,0.09,4.533,0.09,,0.0,0.0,0.767,0.6,0.767,0.6,,0.0,0.0,10.02,0.23,10.021,0.23,,0.0,0.0,2.1,11Jan2022-01:49:12 PM
HIP97223,HIP97223,HIP97223,"['rbfz.202.fits', 'rbfz.203.fits', 'rbfz.204.fits']",103.84514298080158,0.0,False,False,0,No failure,False,[],0,0,4275.122,71.5,4284.08,71.5,4373.909,54.441,53.066,0.682,0.07,0.682,0.07,0.643,0.02,0.02,-0.062,0.09,-0.066,0.09,-0.066,0.085,0.078,4.657,0.09,4.657,0.09,4.636,0.022,0.024,0.675,0.6,0.675,0.6,0.657,0.022,0.022,9.62,0.23,9.62,0.23,8.537,6.883,5.81,3.82,11Jan2022-02:04:55 PM
HIP9724,HIP9724,HIP9724,['rasp.249.fits'],,,True,False,1,__main__.Binary_Exception: This star is a known (spectroscopic) binary.,,[],3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11Jan2022-02:04:55 PM
HIP9727,HIP9727,HIP9727,"['rbdl.222.fits', 'rbdl.223.fits', 'rbdl.224.fits']",261.1421745937689,0.0,False,False,0,No failure,False,[],1,0,6656.735,125.8,6665.694,125.8,6681.467,120.505,115.425,1.852,0.34,1.606,0.34,2.145,0.079,0.074,-0.161,0.09,-0.148,0.09,-0.14,0.1,0.066,4.058,0.09,4.058,0.09,3.937,0.03,0.03,1.391,0.6,1.391,0.6,1.471,0.052,0.055,9.37,0.23,9.369,0.23,1.816,0.265,0.204,3.32,11Jan2022-02:20:11 PM
HIP97295,HIP97295,HIP97295,"['rcas.093.fits', 'rcas.094.fits', 'rcas.095.fits']",178.05392222231444,0.0,False,False,0,No failure,False,[],0,0,6183.275,125.8,6192.234,125.8,6169.958,109.99,100.397,1.623,0.34,1.469,0.34,1.593,0.047,0.046,-0.143,0.09,-0.133,0.09,-0.15,0.107,0.085,4.104,0.09,4.104,0.09,4.108,0.03,0.034,1.2,0.6,1.2,0.6,1.201,0.048,0.076,9.58,0.23,9.577,0.23,3.741,1.441,0.693,0.64,11Jan2022-02:36:32 PM
HIP974,HIP974,HIP974,['rast.213.fits'],149.24652555629226,0.0,False,False,0,No failure,False,[],0,0,4774.394,125.8,4783.353,125.8,4924.096,89.323,79.06,0.775,0.07,0.775,0.07,0.753,0.028,0.027,0.021,0.09,0.002,0.09,-0.022,0.092,0.086,4.532,0.09,4.532,0.09,4.576,0.028,0.037,0.781,0.6,0.781,0.6,0.783,0.031,0.033,10.02,0.23,10.021,0.23,5.751,6.277,4.006,2.69,11Jan2022-02:55:07 PM
HIP97649,HIP97649,HIP97649,"['rzev.780.fits', 'rzev.776.fits', 'rzev.777.fits', 'rzev.778.fits', 'rzev.779.fits']",450.6516679002198,0.0,False,False,0,No failure,True,['Failed to find Gaia name in Simbad; cannot run isochrone analysis.'],0,0,6667.886,125.8,6676.845,125.8,,0.0,0.0,1.755,0.34,1.55,0.34,,0.0,0.0,-0.191,0.09,-0.173,0.09,,0.0,0.0,4.087,0.09,4.087,0.09,,0.0,0.0,1.355,0.6,1.355,0.6,,0.0,0.0,9.39,0.23,9.387,0.23,,0.0,0.0,4.94,11Jan2022-03:11:38 PM
